Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Total Revenue
2022-07-05,North America,Antivirus,Direct Sales,Business,7511.0,7.0,1626.0,No,52577.0
2022-07-06,Europe,ERP,Online,Consumer,2894.0,1.0,1553.0,Yes,2894.0
2022-07-07,South America,ERP,Direct Sales,Consumer,8148.0,6.0,1717.0,No,48888.0
2022-07-08,Europe,Database,Partner,Consumer,1272.0,8.0,1015.0,No,10176.0
2022-07-09,South America,ERP,Direct Sales,Business,7585.0,17.0,1896.0,No,128945.0
2022-07-10,South America,DevTools,Direct Sales,Consumer,1071.0,7.0,679.0,Yes,7497.0
2022-07-11,Asia,Database,Direct Sales,Business,4524.0,1.0,545.0,Yes,4524.0
2022-07-12,Asia,Antivirus,Direct Sales,Consumer,7367.0,9.0,951.0,No,66303.0
2022-07-13,South America,Database,Direct Sales,Consumer,1815.0,11.0,1696.0,No,19965.0
2022-07-14,South America,CRM,Online,Business,2928.0,19.0,1509.0,No,55632.0
2022-07-15,Europe,Database,Partner,Consumer,8661.0,2.0,1154.0,Yes,17322.0
2022-07-16,Europe,ERP,Online,Consumer,8863.0,11.0,884.0,No,97493.0
2022-07-17,Asia,ERP,Partner,Consumer,545.0,3.0,589.0,No,1635.0
2022-07-18,North America,DevTools,Partner,Business,1764.0,17.0,1006.0,Yes,29988.0
2022-07-19,South America,DevTools,Partner,Consumer,1263.0,10.0,1190.0,No,12630.0
2022-07-20,Europe,DevTools,Partner,Consumer,1879.0,3.0,1531.0,No,5637.0
2022-07-21,Asia,Antivirus,Partner,Consumer,9705.0,3.0,1469.0,No,29115.0
2022-07-22,Europe,DevTools,Direct Sales,Consumer,5561.0,7.0,1921.0,No,38927.0
2022-07-23,South America,Antivirus,Online,Consumer,4734.0,2.0,651.0,No,9468.0
2022-07-24,South America,DevTools,Online,Business,9846.0,1.0,1005.0,No,9846.0
2022-07-25,Australia,Antivirus,Direct Sales,Business,5614.0,7.0,1222.0,No,39298.0
2022-07-26,North America,Database,Partner,Consumer,6645.0,11.0,1506.0,No,73095.0
2022-07-27,Australia,Database,Online,Consumer,3394.0,6.0,1243.0,Yes,20364.0
2022-07-28,Asia,ERP,Direct Sales,Business,3883.0,4.0,1869.0,No,15532.0
2022-07-29,Europe,Antivirus,Direct Sales,Consumer,5985.0,19.0,1413.0,No,113715.0
2022-07-30,Asia,CRM,Online,Consumer,791.0,19.0,559.0,No,15029.0
2022-07-31,South America,ERP,Online,Consumer,2633.0,14.0,670.0,Yes,36862.0
2022-08-01,Australia,Database,Partner,Consumer,2048.0,3.0,1630.0,No,6144.0
2022-08-02,Australia,Antivirus,Partner,Consumer,257.0,4.0,1574.0,Yes,1028.0
2022-08-03,Australia,DevTools,Online,Consumer,5415.0,8.0,730.0,No,43320.0
2022-08-04,Asia,CRM,Partner,Consumer,5654.0,18.0,588.0,Yes,101772.0
2022-08-05,South America,Database,Direct Sales,Consumer,3901.0,4.0,1368.0,Yes,15604.0
2022-08-06,Europe,ERP,Partner,Business,2760.0,11.0,1454.0,Yes,30360.0
2022-08-07,Europe,Antivirus,Partner,Business,6555.0,16.0,703.0,No,104880.0
2022-08-08,Asia,CRM,Direct Sales,Consumer,1433.0,3.0,1210.0,No,4299.0
2022-08-09,Australia,Antivirus,Partner,Consumer,5234.0,7.0,959.0,Yes,36638.0
2022-08-10,North America,DevTools,Direct Sales,Consumer,7704.0,2.0,1897.0,No,15408.0
2022-08-11,Asia,ERP,Partner,Consumer,1727.0,1.0,829.0,Yes,1727.0
2022-08-12,Asia,Antivirus,Online,Business,7557.0,1.0,1600.0,No,7557.0
2022-08-13,South America,Database,Partner,Business,7632.0,6.0,1277.0,No,45792.0
2022-08-14,Europe,ERP,Online,Business,693.0,19.0,517.0,Yes,13167.0
2022-08-15,Asia,Database,Online,Business,286.0,7.0,1275.0,Yes,2002.0
2022-08-16,Asia,Antivirus,Online,Consumer,9742.0,5.0,649.0,No,48710.0
2022-08-17,Australia,ERP,Online,Consumer,2014.0,18.0,1489.0,Yes,36252.0
2022-08-18,Australia,Database,Online,Consumer,8239.0,13.0,1348.0,Yes,107107.0
2022-08-19,North America,DevTools,Direct Sales,Business,5662.0,1.0,516.0,No,5662.0
2022-08-20,South America,DevTools,Direct Sales,Consumer,2718.0,10.0,807.0,Yes,27180.0
2022-08-21,North America,Antivirus,Direct Sales,Consumer,1387.0,9.0,1664.0,No,12483.0
2022-08-22,Australia,ERP,Online,Business,5017.0,17.0,914.0,No,85289.0
2022-08-23,Europe,CRM,Partner,Business,4133.0,1.0,1249.0,Yes,4133.0
2022-08-24,Australia,ERP,Direct Sales,Business,7019.0,1.0,968.0,Yes,7019.0
2022-08-25,South America,DevTools,Partner,Business,9051.0,7.0,1882.0,Yes,63357.0
2022-08-26,Australia,Database,Partner,Business,8072.0,4.0,1305.0,No,32288.0
2022-08-27,South America,CRM,Online,Consumer,2817.0,12.0,1544.0,Yes,33804.0
2022-08-28,South America,Antivirus,Online,Consumer,8801.0,16.0,625.0,No,140816.0
2022-08-29,South America,CRM,Online,Business,8351.0,14.0,561.0,Yes,116914.0
2022-08-30,South America,Antivirus,Direct Sales,Consumer,9298.0,10.0,889.0,Yes,92980.0
2022-08-31,South America,CRM,Online,Consumer,4641.0,14.0,964.0,No,64974.0
2022-09-01,Europe,Antivirus,Direct Sales,Consumer,7709.0,7.0,1532.0,Yes,53963.0
2022-09-02,North America,Antivirus,Direct Sales,Consumer,5957.0,4.0,1354.0,Yes,23828.0
2022-09-03,Asia,CRM,Direct Sales,Business,3174.0,2.0,1062.0,No,6348.0
2022-09-04,North America,CRM,Direct Sales,Consumer,9945.0,18.0,1481.0,Yes,179010.0
2022-09-05,South America,Antivirus,Online,Consumer,479.0,16.0,745.0,Yes,7664.0
2022-09-06,Europe,DevTools,Direct Sales,Consumer,1706.0,9.0,595.0,No,15354.0
2022-09-07,Australia,CRM,Online,Business,8936.0,5.0,1782.0,Yes,44680.0
2022-09-08,Europe,ERP,Online,Consumer,700.0,9.0,1346.0,Yes,6300.0
2022-09-09,South America,Database,Direct Sales,Business,8880.0,8.0,1474.0,No,71040.0
2022-09-10,Europe,Antivirus,Online,Business,7181.0,16.0,961.0,Yes,114896.0
2022-09-11,Europe,Antivirus,Partner,Business,463.0,18.0,1058.0,Yes,8334.0
2022-09-12,South America,Database,Online,Business,4350.0,4.0,624.0,Yes,17400.0
2022-09-13,Europe,DevTools,Online,Consumer,7569.0,16.0,1785.0,No,121104.0
2022-09-14,Asia,Database,Direct Sales,Business,5873.0,4.0,1389.0,Yes,23492.0
2022-09-15,Asia,CRM,Direct Sales,Business,9365.0,6.0,625.0,No,56190.0
2022-09-16,Europe,Database,Online,Business,8690.0,3.0,1707.0,Yes,26070.0
2022-09-17,Australia,Antivirus,Direct Sales,Business,3393.0,18.0,1166.0,Yes,61074.0
2022-09-18,South America,Database,Partner,Business,938.0,15.0,1648.0,Yes,14070.0
2022-09-19,Asia,ERP,Partner,Consumer,9448.0,8.0,519.0,Yes,75584.0
2022-09-20,Australia,CRM,Direct Sales,Business,5221.0,18.0,543.0,Yes,93978.0
2022-09-21,Europe,Database,Online,Consumer,837.0,3.0,756.0,Yes,2511.0
2022-09-22,Australia,Antivirus,Partner,Consumer,8184.0,6.0,816.0,Yes,49104.0
2022-09-23,North America,CRM,Partner,Business,8698.0,15.0,1646.0,Yes,130470.0
2022-09-24,Asia,Antivirus,Online,Consumer,6430.0,12.0,1560.0,Yes,77160.0
2022-09-25,Europe,DevTools,Direct Sales,Consumer,4530.0,5.0,1424.0,No,22650.0
2022-09-26,South America,ERP,Partner,Consumer,6656.0,7.0,1827.0,Yes,46592.0
2022-09-27,Europe,DevTools,Online,Business,7096.0,15.0,871.0,No,106440.0
2022-09-28,South America,ERP,Online,Business,8941.0,7.0,1857.0,No,62587.0
2022-09-29,Europe,Database,Partner,Business,9563.0,13.0,1864.0,Yes,124319.0
2022-09-30,Australia,CRM,Direct Sales,Business,5192.0,3.0,1151.0,No,15576.0
2022-10-01,Australia,Database,Partner,Business,8005.0,13.0,642.0,No,104065.0
2022-10-02,Australia,ERP,Online,Business,9649.0,3.0,1590.0,No,28947.0
2022-10-03,North America,ERP,Partner,Business,1597.0,2.0,1005.0,No,3194.0
2022-10-04,South America,ERP,Direct Sales,Consumer,281.0,4.0,1692.0,Yes,1124.0
2022-10-05,Australia,Antivirus,Online,Consumer,8703.0,17.0,746.0,No,147951.0
2022-10-06,North America,CRM,Direct Sales,Business,2033.0,6.0,1309.0,Yes,12198.0
2022-10-07,South America,Database,Partner,Consumer,521.0,11.0,1262.0,No,5731.0
2022-10-08,Europe,Database,Partner,Business,1685.0,6.0,650.0,No,10110.0
2022-10-09,North America,DevTools,Direct Sales,Business,3903.0,2.0,1045.0,No,7806.0
2022-10-10,Asia,ERP,Partner,Business,2271.0,17.0,627.0,Yes,38607.0
2022-10-11,North America,ERP,Direct Sales,Consumer,3122.0,3.0,1197.0,Yes,9366.0
2022-10-12,North America,ERP,Partner,Business,9755.0,12.0,1764.0,Yes,117060.0
2022-10-13,South America,Database,Direct Sales,Business,7074.0,14.0,905.0,Yes,99036.0
2022-10-14,Europe,DevTools,Direct Sales,Business,7151.0,2.0,1647.0,No,14302.0
2022-10-15,Asia,Antivirus,Online,Business,1037.0,5.0,775.0,Yes,5185.0
2022-10-16,Australia,CRM,Online,Consumer,7348.0,10.0,1511.0,No,73480.0
2022-10-17,Australia,Antivirus,Direct Sales,Business,7420.0,10.0,1873.0,Yes,74200.0
2022-10-18,North America,Database,Partner,Consumer,6631.0,9.0,986.0,No,59679.0
2022-10-19,South America,ERP,Partner,Consumer,2362.0,13.0,1851.0,No,30706.0
2022-10-20,South America,CRM,Partner,Business,4288.0,10.0,1258.0,Yes,42880.0
2022-10-21,Australia,Database,Direct Sales,Business,8478.0,6.0,975.0,No,50868.0
2022-10-22,Asia,Database,Direct Sales,Consumer,6735.0,11.0,1845.0,No,74085.0
2022-10-23,Europe,Database,Direct Sales,Consumer,7354.0,4.0,548.0,No,29416.0
2022-10-24,Asia,CRM,Direct Sales,Consumer,5915.0,14.0,542.0,No,82810.0
2022-10-25,Europe,CRM,Online,Consumer,4551.0,17.0,1400.0,No,77367.0
2022-10-26,Australia,DevTools,Direct Sales,Business,7615.0,2.0,1695.0,Yes,15230.0
2022-10-27,Europe,DevTools,Partner,Consumer,772.0,10.0,1627.0,Yes,7720.0
2022-10-28,South America,Antivirus,Online,Consumer,6764.0,3.0,619.0,No,20292.0
2022-10-29,North America,CRM,Partner,Consumer,9972.0,7.0,1925.0,No,69804.0
2022-10-30,North America,CRM,Direct Sales,Consumer,7824.0,7.0,1555.0,Yes,54768.0
2022-10-31,Australia,CRM,Online,Business,2977.0,1.0,1924.0,Yes,2977.0
2022-11-01,South America,DevTools,Direct Sales,Business,2850.0,8.0,994.0,Yes,22800.0
2022-11-02,Asia,Database,Online,Business,6705.0,1.0,1541.0,No,6705.0
2022-11-03,South America,ERP,Partner,Consumer,8969.0,8.0,1790.0,No,71752.0
2022-11-04,North America,DevTools,Direct Sales,Consumer,5822.0,14.0,1071.0,Yes,81508.0
2022-11-05,North America,CRM,Direct Sales,Business,5321.0,14.0,1947.0,Yes,74494.0
2022-11-06,South America,DevTools,Online,Business,1688.0,2.0,897.0,Yes,3376.0
2022-11-07,South America,Antivirus,Online,Consumer,7183.0,8.0,973.0,No,57464.0
2022-11-08,North America,CRM,Direct Sales,Business,7053.0,19.0,1880.0,No,134007.0
2022-11-09,Asia,Antivirus,Online,Consumer,9673.0,10.0,1954.0,No,96730.0
2022-11-10,Australia,CRM,Direct Sales,Consumer,3072.0,7.0,928.0,Yes,21504.0
2022-11-11,Australia,DevTools,Online,Consumer,7589.0,13.0,705.0,No,98657.0
2022-11-12,South America,Database,Partner,Consumer,4397.0,15.0,1639.0,Yes,65955.0
2022-11-13,Australia,ERP,Online,Consumer,5629.0,11.0,1894.0,Yes,61919.0
2022-11-14,North America,Antivirus,Partner,Consumer,8183.0,14.0,1401.0,Yes,114562.0
2022-11-15,North America,DevTools,Online,Business,2298.0,11.0,1452.0,No,25278.0
2022-11-16,South America,Database,Online,Business,3494.0,2.0,1644.0,No,6988.0
2022-11-17,South America,DevTools,Direct Sales,Business,7756.0,2.0,730.0,No,15512.0
2022-11-18,South America,Antivirus,Online,Consumer,5748.0,12.0,1960.0,No,68976.0
2022-11-19,Asia,ERP,Online,Business,1015.0,15.0,1046.0,No,15225.0
2022-11-20,Australia,DevTools,Partner,Consumer,4359.0,17.0,1442.0,No,74103.0
2022-11-21,South America,CRM,Online,Consumer,5908.0,14.0,1203.0,Yes,82712.0
2022-11-22,Europe,Database,Direct Sales,Consumer,9104.0,16.0,1202.0,Yes,145664.0
2022-11-23,Europe,DevTools,Partner,Consumer,1966.0,8.0,1554.0,No,15728.0
2022-11-24,North America,Database,Direct Sales,Business,8079.0,17.0,1992.0,No,137343.0
2022-11-25,Australia,CRM,Direct Sales,Business,1393.0,5.0,1489.0,No,6965.0
2022-11-26,South America,ERP,Direct Sales,Business,2498.0,12.0,1691.0,Yes,29976.0
2022-11-27,Europe,ERP,Direct Sales,Consumer,2509.0,6.0,541.0,No,15054.0
2022-11-28,Australia,CRM,Partner,Business,8787.0,18.0,1716.0,Yes,158166.0
2022-11-29,North America,Database,Online,Business,2070.0,5.0,950.0,No,10350.0
2022-11-30,Asia,DevTools,Direct Sales,Business,7891.0,6.0,690.0,Yes,47346.0
2022-12-01,Australia,CRM,Partner,Consumer,4672.0,9.0,670.0,Yes,42048.0
2022-12-02,Australia,Antivirus,Direct Sales,Business,9991.0,15.0,1520.0,No,149865.0
2022-12-03,Asia,Database,Online,Consumer,8407.0,10.0,1996.0,Yes,84070.0
2022-12-04,Australia,ERP,Partner,Business,7423.0,17.0,1499.0,Yes,126191.0
2022-12-05,North America,CRM,Partner,Consumer,8720.0,19.0,894.0,Yes,165680.0
2022-12-06,North America,ERP,Online,Business,6377.0,12.0,805.0,Yes,76524.0
2022-12-07,Asia,Database,Partner,Business,8452.0,9.0,1289.0,No,76068.0
2022-12-08,South America,ERP,Online,Business,2685.0,15.0,598.0,Yes,40275.0
2022-12-09,Europe,CRM,Partner,Consumer,1067.0,14.0,1099.0,Yes,14938.0
2022-12-10,South America,Database,Partner,Business,6198.0,1.0,1499.0,Yes,6198.0
2022-12-11,Australia,Antivirus,Online,Business,4403.0,17.0,1951.0,No,74851.0
2022-12-12,Europe,CRM,Online,Consumer,4322.0,1.0,1138.0,No,4322.0
2022-12-13,Asia,DevTools,Partner,Consumer,5315.0,13.0,800.0,Yes,69095.0
2022-12-14,Asia,CRM,Partner,Consumer,3678.0,8.0,1726.0,No,29424.0
2022-12-15,Europe,Database,Online,Consumer,6298.0,13.0,1616.0,No,81874.0
2022-12-16,North America,CRM,Online,Business,403.0,16.0,1790.0,No,6448.0
2022-12-17,Europe,Antivirus,Partner,Business,9702.0,2.0,822.0,No,19404.0
2022-12-18,Australia,Antivirus,Partner,Consumer,9255.0,13.0,1107.0,No,120315.0
2022-12-19,North America,DevTools,Partner,Business,9359.0,18.0,1972.0,No,168462.0
2022-12-20,Asia,ERP,Online,Consumer,3714.0,3.0,737.0,No,11142.0
2022-12-21,Europe,Database,Partner,Business,5366.0,13.0,1507.0,Yes,69758.0
2022-12-22,South America,Database,Direct Sales,Consumer,9546.0,19.0,856.0,Yes,181374.0
2022-12-23,South America,ERP,Online,Business,9033.0,13.0,1250.0,Yes,117429.0
2022-12-24,Australia,Antivirus,Partner,Consumer,7923.0,19.0,1701.0,No,150537.0
2022-12-25,South America,Antivirus,Online,Consumer,4133.0,4.0,1233.0,Yes,16532.0
2022-12-26,Europe,CRM,Direct Sales,Business,5687.0,19.0,1708.0,No,108053.0
2022-12-27,Europe,DevTools,Online,Business,7950.0,18.0,1140.0,No,143100.0
2022-12-28,South America,DevTools,Partner,Business,2803.0,6.0,1999.0,Yes,16818.0
2022-12-29,Europe,DevTools,Direct Sales,Consumer,6302.0,19.0,1154.0,Yes,119738.0
2022-12-30,Australia,CRM,Direct Sales,Business,8297.0,4.0,724.0,Yes,33188.0
2022-12-31,North America,DevTools,Partner,Consumer,7104.0,4.0,1103.0,Yes,28416.0
2022-01-01,Australia,ERP,Partner,Business,4847.0,7.0,1614.0,No,33929.0
2022-01-02,Australia,CRM,Partner,Business,5888.0,7.0,1772.0,Yes,41216.0
2022-01-03,Europe,ERP,Online,Consumer,9888.0,16.0,1190.0,Yes,158208.0
2022-01-04,North America,CRM,Online,Consumer,6060.0,16.0,1392.0,No,96960.0
2022-01-05,Europe,DevTools,Online,Business,7878.0,5.0,1767.0,No,39390.0
2022-01-06,Asia,ERP,Partner,Consumer,7293.0,15.0,1720.0,No,109395.0
2022-01-07,Europe,ERP,Partner,Consumer,7045.0,4.0,1487.0,No,28180.0
2022-01-08,Europe,ERP,Online,Business,7192.0,13.0,1723.0,No,93496.0
2022-01-09,Europe,CRM,Direct Sales,Consumer,4599.0,19.0,1364.0,Yes,87381.0
2022-01-10,North America,Database,Online,Business,4794.0,7.0,507.0,Yes,33558.0
2022-01-11,Europe,DevTools,Direct Sales,Business,4732.0,12.0,562.0,No,56784.0
2022-01-12,North America,ERP,Partner,Consumer,429.0,9.0,1970.0,Yes,3861.0
2022-01-13,South America,Database,Partner,Business,2487.0,17.0,717.0,No,42279.0
2022-01-14,Asia,DevTools,Online,Consumer,1630.0,2.0,1107.0,Yes,3260.0
2022-01-15,North America,DevTools,Online,Business,8876.0,16.0,1901.0,Yes,142016.0
2022-01-16,South America,ERP,Partner,Consumer,2822.0,7.0,793.0,Yes,19754.0
2022-01-17,North America,ERP,Online,Consumer,1471.0,18.0,1766.0,Yes,26478.0
2022-01-18,North America,CRM,Partner,Consumer,1286.0,7.0,1727.0,Yes,9002.0
2022-01-19,Asia,Database,Partner,Consumer,7030.0,1.0,1979.0,No,7030.0
2022-01-20,Australia,Database,Direct Sales,Consumer,160.0,3.0,923.0,Yes,480.0
2022-01-21,Australia,ERP,Online,Business,4766.0,11.0,973.0,Yes,52426.0
2022-01-22,North America,DevTools,Partner,Business,1277.0,15.0,1854.0,Yes,19155.0
2022-01-23,Europe,ERP,Online,Consumer,8512.0,3.0,851.0,Yes,25536.0
2022-01-24,South America,DevTools,Direct Sales,Business,9589.0,13.0,1322.0,No,124657.0
2022-01-25,Europe,DevTools,Direct Sales,Consumer,9592.0,4.0,1561.0,No,38368.0
2022-01-26,Europe,ERP,Online,Consumer,4475.0,8.0,908.0,No,35800.0
2022-01-27,North America,Antivirus,Online,Business,6481.0,4.0,1908.0,Yes,25924.0
2022-01-28,North America,Database,Partner,Business,6037.0,18.0,1499.0,No,108666.0
2022-01-29,North America,DevTools,Direct Sales,Consumer,3565.0,7.0,571.0,No,24955.0
2022-01-30,North America,DevTools,Direct Sales,Consumer,4496.0,11.0,704.0,No,49456.0
2022-01-31,Australia,Antivirus,Direct Sales,Consumer,737.0,4.0,786.0,No,2948.0
2022-02-01,North America,CRM,Online,Consumer,7977.0,13.0,867.0,Yes,103701.0
2022-02-02,Australia,Antivirus,Partner,Consumer,2484.0,9.0,1596.0,Yes,22356.0
2022-02-03,Australia,Antivirus,Online,Consumer,4659.0,9.0,633.0,Yes,41931.0
2022-02-04,North America,DevTools,Online,Business,4858.0,19.0,1026.0,Yes,92302.0
2022-02-05,Asia,Database,Online,Consumer,5651.0,3.0,1867.0,No,16953.0
2022-02-06,South America,Antivirus,Partner,Consumer,8197.0,12.0,1335.0,Yes,98364.0
2022-02-07,Europe,CRM,Online,Business,6950.0,11.0,898.0,Yes,76450.0
2022-02-08,Australia,ERP,Direct Sales,Consumer,6664.0,11.0,1936.0,Yes,73304.0
2022-02-09,South America,Antivirus,Direct Sales,Consumer,5315.0,17.0,866.0,No,90355.0
2022-02-10,Asia,Antivirus,Direct Sales,Business,1050.0,14.0,1858.0,No,14700.0
2022-02-11,Europe,CRM,Partner,Consumer,4080.0,16.0,1589.0,No,65280.0
2022-02-12,Europe,Database,Online,Business,9577.0,10.0,1611.0,Yes,95770.0
2022-02-13,Australia,Antivirus,Partner,Consumer,9956.0,4.0,1647.0,Yes,39824.0
2022-02-14,North America,Antivirus,Online,Business,7332.0,10.0,1260.0,Yes,73320.0
2022-02-15,Asia,Database,Direct Sales,Business,2352.0,12.0,1722.0,Yes,28224.0
2022-02-16,Australia,CRM,Online,Business,1109.0,9.0,1754.0,No,9981.0
2022-02-17,Asia,Antivirus,Online,Consumer,4206.0,15.0,1041.0,Yes,63090.0
2022-02-18,North America,Database,Online,Consumer,8580.0,9.0,1101.0,No,77220.0
2022-02-19,North America,Antivirus,Partner,Business,7246.0,7.0,1833.0,No,50722.0
2022-02-20,Australia,ERP,Online,Business,8851.0,12.0,1287.0,Yes,106212.0
2022-02-21,North America,DevTools,Online,Consumer,6196.0,14.0,1800.0,No,86744.0
2022-02-22,South America,ERP,Online,Consumer,1390.0,16.0,1440.0,Yes,22240.0
2022-02-23,Europe,Antivirus,Partner,Consumer,1236.0,19.0,1390.0,Yes,23484.0
2022-02-24,Australia,CRM,Partner,Consumer,575.0,3.0,546.0,Yes,1725.0
2022-02-25,Asia,DevTools,Partner,Consumer,5714.0,11.0,917.0,Yes,62854.0
2022-02-26,South America,ERP,Online,Business,2505.0,19.0,1253.0,No,47595.0
2022-02-27,Australia,Database,Direct Sales,Consumer,7370.0,8.0,1381.0,No,58960.0
2022-02-28,North America,CRM,Direct Sales,Business,6894.0,8.0,1446.0,Yes,55152.0
2022-03-01,North America,ERP,Direct Sales,Consumer,3249.0,3.0,1574.0,No,9747.0
2022-03-02,North America,Database,Online,Business,1850.0,10.0,1484.0,No,18500.0
2022-03-03,North America,Antivirus,Direct Sales,Business,1114.0,13.0,1773.0,No,14482.0
2022-03-04,Asia,Database,Direct Sales,Consumer,7399.0,9.0,943.0,Yes,66591.0
2022-03-05,South America,ERP,Direct Sales,Business,4559.0,6.0,1462.0,Yes,27354.0
2022-03-06,Europe,ERP,Online,Business,3303.0,15.0,577.0,Yes,49545.0
2022-03-07,Asia,Antivirus,Direct Sales,Business,8581.0,16.0,1220.0,No,137296.0
2022-03-08,Asia,Database,Direct Sales,Business,5977.0,5.0,902.0,Yes,29885.0
2022-03-09,Europe,Database,Online,Consumer,5228.0,13.0,1071.0,Yes,67964.0
2022-03-10,Europe,Antivirus,Partner,Business,7459.0,19.0,1032.0,Yes,141721.0
2022-03-11,North America,Database,Direct Sales,Consumer,8174.0,2.0,591.0,Yes,16348.0
2022-03-12,Asia,Antivirus,Partner,Business,6892.0,6.0,1200.0,Yes,41352.0
2022-03-13,Australia,CRM,Direct Sales,Consumer,4456.0,1.0,1992.0,Yes,4456.0
2022-03-14,Europe,ERP,Online,Consumer,3855.0,15.0,948.0,No,57825.0
2022-03-15,Europe,CRM,Partner,Consumer,7739.0,15.0,1604.0,Yes,116085.0
2022-03-16,South America,DevTools,Partner,Business,5227.0,14.0,1322.0,No,73178.0
2022-03-17,Australia,DevTools,Partner,Consumer,7073.0,7.0,988.0,Yes,49511.0
2022-03-18,Australia,DevTools,Partner,Consumer,8915.0,5.0,634.0,No,44575.0
2022-03-19,Europe,Antivirus,Direct Sales,Business,9167.0,16.0,824.0,No,146672.0
2022-03-20,North America,Database,Direct Sales,Consumer,2849.0,17.0,1673.0,No,48433.0
2022-03-21,South America,CRM,Partner,Business,1960.0,11.0,919.0,Yes,21560.0
2022-03-22,Australia,CRM,Direct Sales,Business,2687.0,15.0,716.0,Yes,40305.0
2022-03-23,Europe,CRM,Partner,Consumer,7539.0,16.0,997.0,No,120624.0
2022-03-24,Australia,CRM,Partner,Business,3764.0,3.0,1376.0,No,11292.0
2022-03-25,South America,DevTools,Online,Business,1817.0,6.0,1555.0,Yes,10902.0
2022-03-26,South America,CRM,Partner,Business,1074.0,13.0,1081.0,Yes,13962.0
2022-03-27,Asia,Database,Direct Sales,Consumer,3340.0,1.0,1247.0,Yes,3340.0
2022-03-28,Europe,DevTools,Partner,Business,1448.0,14.0,1182.0,No,20272.0
2022-03-29,South America,CRM,Online,Business,1648.0,2.0,514.0,No,3296.0
2022-03-30,Asia,Antivirus,Direct Sales,Business,6870.0,2.0,1093.0,No,13740.0
2022-03-31,Asia,ERP,Online,Consumer,295.0,15.0,1381.0,No,4425.0
2022-04-01,Australia,ERP,Online,Business,1264.0,18.0,1355.0,No,22752.0
2022-04-02,Australia,ERP,Partner,Consumer,8459.0,9.0,1625.0,Yes,76131.0
2022-04-03,Asia,DevTools,Online,Business,8465.0,3.0,1506.0,No,25395.0
2022-04-04,Australia,CRM,Online,Consumer,3360.0,4.0,915.0,No,13440.0
2022-04-05,South America,DevTools,Direct Sales,Consumer,971.0,15.0,883.0,Yes,14565.0
2022-04-06,North America,Database,Online,Consumer,7079.0,5.0,1196.0,Yes,35395.0
2022-04-07,South America,Antivirus,Partner,Business,3665.0,5.0,1599.0,Yes,18325.0
2022-04-08,Asia,Antivirus,Partner,Business,550.0,10.0,641.0,No,5500.0
2022-04-09,Asia,ERP,Partner,Business,1662.0,16.0,1922.0,Yes,26592.0
2022-04-10,South America,ERP,Online,Consumer,1458.0,12.0,1315.0,No,17496.0
2022-04-11,Australia,ERP,Direct Sales,Business,5932.0,14.0,960.0,Yes,83048.0
2022-04-12,Australia,CRM,Partner,Business,8991.0,11.0,1540.0,No,98901.0
2022-04-13,Asia,Database,Online,Consumer,7951.0,19.0,567.0,No,151069.0
2022-04-14,Europe,Database,Partner,Business,5511.0,6.0,1227.0,Yes,33066.0
2022-04-15,Australia,Database,Partner,Business,4279.0,10.0,1229.0,No,42790.0
2022-04-16,South America,Database,Direct Sales,Consumer,6225.0,3.0,743.0,Yes,18675.0
2022-04-17,Australia,ERP,Partner,Consumer,4494.0,15.0,1756.0,No,67410.0
2022-04-18,South America,Antivirus,Direct Sales,Business,2536.0,11.0,1695.0,No,27896.0
2022-04-19,Asia,ERP,Online,Consumer,6824.0,2.0,729.0,No,13648.0
2022-04-20,Australia,Database,Partner,Business,8745.0,6.0,1046.0,Yes,52470.0
2022-04-21,South America,ERP,Online,Business,3791.0,17.0,651.0,No,64447.0
2022-04-22,Asia,Database,Online,Business,8431.0,18.0,1773.0,Yes,151758.0
2022-04-23,Europe,DevTools,Online,Business,4368.0,4.0,985.0,No,17472.0
2022-04-24,South America,Antivirus,Partner,Business,4073.0,9.0,1159.0,No,36657.0
2022-04-25,Europe,DevTools,Direct Sales,Consumer,380.0,10.0,986.0,Yes,3800.0
2022-04-26,Europe,CRM,Partner,Consumer,6983.0,2.0,965.0,Yes,13966.0
2022-04-27,North America,ERP,Online,Business,8094.0,11.0,1621.0,No,89034.0
2022-04-28,Australia,CRM,Direct Sales,Consumer,6669.0,11.0,1621.0,No,73359.0
2022-04-29,South America,ERP,Online,Consumer,1598.0,11.0,1277.0,No,17578.0
2022-04-30,Europe,DevTools,Direct Sales,Business,1123.0,1.0,1486.0,No,1123.0
2022-05-01,North America,Database,Partner,Consumer,5771.0,14.0,1267.0,No,80794.0
2022-05-02,Asia,Database,Direct Sales,Consumer,4075.0,1.0,543.0,No,4075.0
2022-05-03,South America,ERP,Partner,Business,4348.0,9.0,599.0,Yes,39132.0
2022-05-04,Europe,Database,Online,Business,9681.0,1.0,1076.0,No,9681.0
2022-05-05,Australia,DevTools,Direct Sales,Business,7267.0,4.0,1625.0,Yes,29068.0
2022-05-06,North America,Database,Online,Business,4177.0,1.0,1870.0,No,4177.0
2022-05-07,Europe,DevTools,Direct Sales,Business,289.0,19.0,545.0,No,5491.0
2022-05-08,Australia,CRM,Partner,Business,438.0,10.0,1052.0,Yes,4380.0
